Symbol,Date,LTP,High,Low,Open,Quantity,Turnover
AKPL,2018/03/14,254.0,257.0,249.0,249.0,748.0,189737.0
AKPL,2018/03/13,252.0,252.0,248.0,248.0,435.0,108840.0
AKPL,2018/03/12,250.0,251.0,243.0,252.0,1707.0,420390.0
AKPL,2018/03/11,252.0,265.0,250.0,269.0,5178.0,1299676.0
AKPL,2018/03/07,269.0,271.0,256.0,256.0,717.0,189830.0
AKPL,2018/03/06,261.0,261.0,251.0,252.0,5031.0,1277660.0
AKPL,2018/03/05,255.0,269.0,255.0,269.0,9399.0,2478190.0
AKPL,2018/03/04,273.0,285.0,261.0,285.0,3241.0,872746.0
AKPL,2018/02/28,290.0,301.0,285.0,300.0,8975.0,2586670.0
AKPL,2018/02/27,304.0,310.0,301.0,302.0,2068.0,626708.0
AKPL,2018/02/26,306.0,310.0,305.0,309.0,3368.0,1034240.0
AKPL,2018/02/25,316.0,318.0,312.0,312.0,357.0,112800.0
AKPL,2018/02/22,318.0,320.0,313.0,313.0,1253.0,398407.0
AKPL,2018/02/21,319.0,319.0,313.0,313.0,156.0,49166.0
AKPL,2018/02/20,318.0,329.0,314.0,329.0,2435.0,772218.0
AKPL,2018/02/18,335.0,335.0,335.0,329.0,10.0,3350.0
AKPL,2018/02/15,329.0,333.0,317.0,333.0,3802.0,1241000.0
AKPL,2018/02/14,329.0,329.0,313.0,317.0,5369.0,1695010.0
AKPL,2018/02/12,322.0,322.0,316.0,319.0,2380.0,757525.0
AKPL,2018/02/08,321.0,332.0,317.0,332.0,1419.0,465879.0
AKPL,2018/02/07,329.0,329.0,315.0,315.0,203.0,64616.0
AKPL,2018/02/06,319.0,325.0,319.0,324.0,4833.0,1556870.0
AKPL,2018/02/05,328.0,330.0,326.0,330.0,9369.0,3076360.0
AKPL,2018/02/04,334.0,337.0,329.0,329.0,2004.0,661689.0
AKPL,2018/02/01,335.0,343.0,331.0,338.0,461.0,153932.0
AKPL,2018/01/31,335.0,335.0,332.0,335.0,1510.0,505095.0
AKPL,2018/01/29,332.0,332.0,328.0,328.0,423.0,139939.0
AKPL,2018/01/28,334.0,344.0,328.0,334.0,917.0,305050.0
AKPL,2018/01/25,339.0,340.0,330.0,330.0,1334.0,443767.0
AKPL,2018/01/24,335.0,335.0,329.0,330.0,732.0,242092.0
AKPL,2018/01/23,330.0,337.0,325.0,330.0,1780.0,586231.0
AKPL,2018/01/22,334.0,334.0,327.0,327.0,1374.0,457206.0
AKPL,2018/01/21,332.0,338.0,331.0,338.0,2711.0,904055.0
AKPL,2018/01/17,336.0,337.0,333.0,335.0,2038.0,681296.0
AKPL,2018/01/16,337.0,340.0,332.0,335.0,991.0,335644.0
AKPL,2018/01/14,341.0,341.0,333.0,339.0,1078.0,364844.0
AKPL,2018/01/10,342.0,346.0,337.0,340.0,828.0,284337.0
AKPL,2018/01/09,340.0,345.0,335.0,341.0,1199.0,412082.0
AKPL,2018/01/08,341.0,342.0,335.0,335.0,235.0,79513.0
AKPL,2018/01/07,340.0,344.0,338.0,340.0,1013.0,344579.0
AKPL,2018/01/04,342.0,342.0,338.0,340.0,1449.0,493044.0
AKPL,2018/01/03,337.0,343.0,333.0,343.0,3199.0,1080290.0
AKPL,2018/01/02,343.0,346.0,337.0,340.0,1127.0,384163.0
AKPL,2018/01/01,341.0,347.0,334.0,335.0,1358.0,465716.0
AKPL,2017/12/31,335.0,339.0,332.0,335.0,2374.0,796545.0
AKPL,2017/12/28,341.0,341.0,334.0,340.0,961.0,326761.0
AKPL,2017/12/27,346.0,346.0,326.0,341.0,1892.0,641706.0
AKPL,2017/12/26,341.0,352.0,338.0,348.0,3621.0,1228095.0
AKPL,2017/12/24,348.0,351.0,346.0,349.0,466.0,162913.0
AKPL,2017/12/21,350.0,362.0,346.0,352.0,3925.0,1382750.0
